rank,artist_name,playcount,artist_url,artist_mbid
107,The Chemical Brothers,94,https://www.last.fm/music/The+Chemical+Brothers,1946a82a-f927-40c2-8235-38d64f50d043
108,Bauhaus,92,https://www.last.fm/music/Bauhaus,
109,Kiss,92,https://www.last.fm/music/Kiss,e1f1e33e-2e4c-4d43-b91b-7064068d3283
110,Blondie,91,https://www.last.fm/music/Blondie,4d2956d1-a3f7-44bb-9a41-67563e1a0c94
111,Smash Mouth,90,https://www.last.fm/music/Smash+Mouth,944e1036-8a03-4611-8aa0-31515a05c848
112,Arcade Fire,88,https://www.last.fm/music/Arcade+Fire,52074ba6-e495-4ef3-9bb4-0703888a9f68
113,The Strokes,88,https://www.last.fm/music/The+Strokes,f181961b-20f7-459e-89de-920ef03c7ed0
114,U2,88,https://www.last.fm/music/U2,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432
115,Green Day,86,https://www.last.fm/music/Green+Day,084308bd-1654-436f-ba03-df6697104e19
116,Megadeth,86,https://www.last.fm/music/Megadeth,a9044915-8be3-4c7e-b11f-9e2d2ea0a91e
117,Steppenwolf,86,https://www.last.fm/music/Steppenwolf,12ff8858-bfcb-4812-a8dd-7e9debf0cbee
118,Arctic Monkeys,85,https://www.last.fm/music/Arctic+Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a
119,Freddie Mercury,85,https://www.last.fm/music/Freddie+Mercury,022589ac-7177-460d-a178-9976cf70e29f
120,Ocean Colour Scene,85,https://www.last.fm/music/Ocean+Colour+Scene,601d793d-7e96-4bb6-b4a6-712d5c926259
121,Celtas Cortos,84,https://www.last.fm/music/Celtas+Cortos,e41b4871-a98d-494a-8cea-b9ba1a3ade1b
122,Duran Duran,84,https://www.last.fm/music/Duran+Duran,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5
123,The WAEVE,80,https://www.last.fm/music/The+WAEVE,e6e16ae8-4867-49f4-a877-30ade1ba58cd
124,Deep Purple,79,https://www.last.fm/music/Deep+Purple,79491354-3d83-40e3-9d8e-7592d58d790a
125,Jerry Lee Lewis,79,https://www.last.fm/music/Jerry+Lee+Lewis,b59ac58d-036e-4bba-8112-c32a34c4575b
126,Teenage Fanclub,79,https://www.last.fm/music/Teenage+Fanclub,e6f8912b-7df9-4aae-b551-2cd03dc29588
127,Los Suaves,78,https://www.last.fm/music/Los+Suaves,69747c42-016c-4705-9a9c-a411cd859b46
128,Massive Attack,78,https://www.last.fm/music/Massive+Attack,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8
129,Luis Eduardo Aute,77,https://www.last.fm/music/Luis+Eduardo+Aute,35542d25-c761-49fa-a402-f752c5789517
130,ZZ Top,77,https://www.last.fm/music/ZZ+Top,a81259a0-a2f5-464b-866e-71220f2739f1
131,Soulwax,76,https://www.last.fm/music/Soulwax,68ec1b08-3c2e-40b3-b0af-8f323743fdff
132,The Jesus and Mary Chain,76,https://www.last.fm/music/The+Jesus+and+Mary+Chain,e938a15c-b17e-4e7a-9f68-ff0d536cab44
133,Echobelly,75,https://www.last.fm/music/Echobelly,9a1e8414-d32a-4058-bab0-c1b36934d39e
134,Ash,72,https://www.last.fm/music/Ash,
135,Jarvis Cocker,71,https://www.last.fm/music/Jarvis+Cocker,38550441-d437-4aff-867e-e79bf0c04142
136,The Mamas & the Papas,71,https://www.last.fm/music/The+Mamas+&+the+Papas,ff294730-0315-440d-a543-54005779c15b
137,Dinosaur Jr.,70,https://www.last.fm/music/Dinosaur+Jr.,77c167d2-4965-4421-830a-9815e4956475
138,Elastica,69,https://www.last.fm/music/Elastica,6a443e55-9dfa-4ab7-a042-8f8fde7727a0
139,Leño,68,https://www.last.fm/music/Le%C3%B1o,42941f4b-d3ea-4d78-a5af-2be59bc2acd6
140,Pearl Jam,68,https://www.last.fm/music/Pearl+Jam,83b9cbe7-9857-49e2-ab8e-b57b01038103
141,Joy Division,67,https://www.last.fm/music/Joy+Division,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd
142,Metallica,67,https://www.last.fm/music/Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab
143,The Killers,67,https://www.last.fm/music/The+Killers,95e1ead9-4d31-4808-a7ac-32c3614c116b
144,Lynyrd Skynyrd,66,https://www.last.fm/music/Lynyrd+Skynyrd,c544ed4d-2390-4442-a83e-1ea2883b09c8
145,The Divine Comedy,65,https://www.last.fm/music/The+Divine+Comedy,49c4378b-3c36-4c5a-8999-8d936e74f39b
146,Misfits,64,https://www.last.fm/music/Misfits,936addc3-91aa-49de-8ec0-0dc186de151f
147,Elvis Costello,63,https://www.last.fm/music/Elvis+Costello,8a338e06-d182-46f2-bd16-30a09bc840ba
148,my bloody valentine,63,https://www.last.fm/music/my+bloody+valentine,8ca01f46-53ac-4af2-8516-55a909c0905e
149,Nick Cave & the Bad Seeds,62,https://www.last.fm/music/Nick+Cave+&+the+Bad+Seeds,172e1f1a-504d-4488-b053-6344ba63e6d0
150,The La's,62,https://www.last.fm/music/The+La%27s,ff3e88b3-7354-4f30-967c-1a61ebc8c642
151,Iggy Pop,61,https://www.last.fm/music/Iggy+Pop,f37b3f31-b1f8-4b88-8cb5-b34f709b17d7
152,Kraftwerk,61,https://www.last.fm/music/Kraftwerk,5700dcd4-c139-4f31-aa3e-6382b9af9032
153,Syd Barrett,61,https://www.last.fm/music/Syd+Barrett,12327d75-47d5-45d9-84c2-3760b9210c17
154,The Velvet Underground,61,https://www.last.fm/music/The+Velvet+Underground,94b0fb9d-a066-4823-b2ec-af1d324bcfcf
155,Barón Rojo,59,https://www.last.fm/music/Bar%C3%B3n+Rojo,fae59483-47cf-4499-aa30-f07c120983dd
156,Guns N' Roses,59,https://www.last.fm/music/Guns+N%27+Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43
157,New Order,59,https://www.last.fm/music/New+Order,f1106b17-dcbb-45f6-b938-199ccfab50cc
158,Scorpions,59,https://www.last.fm/music/Scorpions,c3cceeed-3332-4cf0-8c4c-bbde425147b6
159,The Stone Roses,59,https://www.last.fm/music/The+Stone+Roses,b5fa29f1-6c22-4321-a488-b5f363b06b06
160,Space,58,https://www.last.fm/music/Space,
161,Stereolab,58,https://www.last.fm/music/Stereolab,f1df0431-9250-4ec8-95d8-f19ce7cf7fb6
162,Van Halen,58,https://www.last.fm/music/Van+Halen,b665b768-0d83-4363-950c-31ed39317c15
163,Garbage,57,https://www.last.fm/music/Garbage,f9ef7a22-4262-4596-a2a8-1d19345b8e50
164,Klaxons,57,https://www.last.fm/music/Klaxons,63011a8d-0117-4f7e-9991-1ef1f337ff70
165,Superstate,57,https://www.last.fm/music/Superstate,
166,The White Stripes,57,https://www.last.fm/music/The+White+Stripes,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5
167,Def con Dos,55,https://www.last.fm/music/Def+con+Dos,677002d6-385c-4c8a-8dc5-9d68d514a32f
168,Echo & the Bunnymen,55,https://www.last.fm/music/Echo+&+the+Bunnymen,ccd4879c-5e88-4385-b131-bf65296bf245
169,Manu Chao,55,https://www.last.fm/music/Manu+Chao,7570a0dd-5a67-401b-b19a-261eee01a284
170,The Specials,55,https://www.last.fm/music/The+Specials,07eb40a2-2914-439c-a01d-15a685b84ddf
171,Siniestro Total,53,https://www.last.fm/music/Siniestro+Total,d320be5e-ba25-4113-8b22-5c64ab87fcd2
172,Siouxsie and the Banshees,53,https://www.last.fm/music/Siouxsie+and+the+Banshees,78ea5ea1-3c4d-4b7e-ac5d-68900319ebe2
173,Depeche Mode,52,https://www.last.fm/music/Depeche+Mode,8538e728-ca0b-4321-b7e5-cff6565dd4c0
174,Jefferson Airplane,52,https://www.last.fm/music/Jefferson+Airplane,39c2a93d-9afa-4a22-9bba-c087ab056e1c
175,The Horrors,52,https://www.last.fm/music/The+Horrors,
